timestamp,container,cpu_pct,mem_usage,mem_limit,mem_pct
2026-02-22T12:30:51Z,sxng-exp-09,0.00%,96.12MiB,200MiB,48.06%
2026-02-22T12:30:51Z,sxng-exp-02,0.00%,100.6MiB,200MiB,50.28%
2026-02-22T12:30:51Z,sxng-exp-06,0.00%,96.84MiB,200MiB,48.42%
2026-02-22T12:30:51Z,sxng-exp-20,0.00%,83.68MiB,200MiB,41.84%
2026-02-22T12:30:51Z,sxng-exp-05,0.00%,95.57MiB,200MiB,47.78%
2026-02-22T12:30:57Z,sxng-exp-15,0.00%,83.69MiB,200MiB,41.84%
2026-02-22T12:30:57Z,sxng-exp-18,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:57Z,sxng-exp-08,0.00%,97.75MiB,200MiB,48.88%
2026-02-22T12:30:57Z,sxng-exp-04,0.00%,96.17MiB,200MiB,48.09%
2026-02-22T12:30:57Z,sxng-exp-10,0.00%,97.05MiB,200MiB,48.53%
2026-02-22T12:30:57Z,sxng-exp-11,0.00%,98.86MiB,200MiB,49.43%
2026-02-22T12:30:57Z,sxng-exp-13,0.00%,97.91MiB,200MiB,48.96%
2026-02-22T12:30:57Z,sxng-exp-17,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:57Z,sxng-exp-19,0.00%,83.71MiB,200MiB,41.85%
2026-02-22T12:30:57Z,sxng-exp-07,0.00%,96.11MiB,200MiB,48.05%
2026-02-22T12:30:57Z,sxng-exp-16,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:30:57Z,sxng-exp-12,0.00%,96.14MiB,200MiB,48.07%
2026-02-22T12:30:57Z,sxng-exp-14,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:30:57Z,sxng-exp-03,0.00%,96.03MiB,200MiB,48.02%
2026-02-22T12:30:57Z,sxng-exp-01,0.00%,95.87MiB,200MiB,47.94%
2026-02-22T12:30:57Z,sxng-exp-09,0.00%,96.12MiB,200MiB,48.06%
